,ACCESS-ESM1-5,CESM2,CNRM-ESM2-1,GFDL-ESM4,MPI-ESM1-2-LR,NorESM2-LM,UKESM,UVic-ESCM-2-10
116,17.97,18.2078,17.7146244064645,16.54,16.67,16.87,291.90448,290.0892028808594
117,17.95,18.0375,17.6303801856931,16.43,16.82,16.87,291.91873,290.1269836425781
118,17.95,18.0267,17.8200383680468,16.31,17.08,17.03,291.90363,290.1650085449219
119,17.99,18.2639,17.8827966715466,16.41,17.14,17.26,291.93183,290.2035217285156
120,18.27,18.3354,17.9704714439911,16.5,16.95,17.33,291.92419,290.241455078125
121,18.26,18.2916,18.0362513206152,16.64,17.0,17.12,291.92777,290.2800598144531
122,18.37,18.3675,18.0355759983257,16.6,17.06,17.3,292.08713,290.3185119628906
123,18.44,18.4256,18.2219606822364,16.59,17.1,17.48,292.29103,290.35577392578125
124,18.42,18.4763,18.1754820380813,16.66,17.17,17.27,292.27816,290.3947448730469
125,18.27,18.6267,18.2794753689177,16.6,17.46,17.2,292.23848,290.4332275390625
126,18.38,18.6704,18.3068803590774,16.8,17.52,17.42,292.29266,290.47137451171875
127,18.58,18.6201,18.380141156335,16.93,17.45,17.64,292.38074,290.5105285644531
128,18.52,18.6641,18.2639287642236,17.0,17.42,17.58,292.43065,290.5492858886719
129,18.54,18.5377,18.5085972609422,16.97,17.41,17.52,292.70634,290.58917236328125
130,18.59,18.7221,18.4811213566362,16.84,17.49,17.53,292.76624,290.62774658203125
131,18.71,18.8282,18.2558227119324,16.72,17.5,17.71,292.72685,290.66644287109375
132,18.67,18.8496,18.533768090379,16.92,17.75,17.96,292.56068,290.70574951171875
133,18.77,18.7953,18.6741751747246,17.07,17.68,17.67,292.59332,290.7445373535156
134,18.66,18.9963,18.655769581735,16.98,17.71,17.77,292.90419,290.7846374511719
135,18.92,18.9813,18.7104401951493,17.02,17.58,17.92,293.00084,290.8241271972656
136,18.82,19.1467,18.6702752869288,17.08,17.61,17.79,292.85882,290.8644714355469
137,18.73,19.181,19.018754040292,17.1,17.74,17.8,292.9398,290.90478515625
138,19.04,19.291,18.8806947810623,17.04,17.9,18.0,293.04041,290.9443054199219
139,18.82,19.1191,18.8589699255265,17.26,17.77,18.05,293.04804,290.9842529296875
140,,19.2828,18.9131900002233,17.26,,,293.10751,
141,,19.4566,18.8208248785301,17.11,,,293.26164,
142,,19.4143,19.0620521803274,17.25,,,293.26797,
143,,19.5371,19.1500812062067,17.26,,,293.33178,
144,,19.5389,19.2387864295695,17.44,,,293.27148,
145,,19.695,19.2339857680988,17.47,,,293.28468,
146,,19.8175,19.430510954494,17.43,,,293.41534,
147,,19.9013,19.175128954129,17.47,,,293.56751,
148,,19.9041,19.4490886254634,17.46,,,293.71658,
149,,19.8579,19.4185232117292,17.58,,,293.70328,
150,,,,,,,293.6845,
