Year;GFDL-ESM2M;NorESM2;ACCESS;UKESM1;CanESM5;CESM;MPIESM;CNRM-ESM2-1;MIROC-ES2L;UVic-ESCM-2-10
135.0;287.7812084459279;288.8;289.31;289.357766873;15.35;288.78271769;288.0129;288.776595;289.28372;288.4111328125
136.0;287.8944243966717;288.78;289.42;289.635445172;15.34;288.70342267;288.1324;288.787871;289.48824;288.41265869140625
137.0;287.9567465586206;288.78;289.48;289.29184128982985;15.29;288.77422636;288.2605;288.789197;289.24761;288.41510009765625
138.0;288.08750058526863;288.83;289.58;289.40791076250787;15.37;288.69997229;287.9197;288.891813;289.11306;288.4152526855469
139.0;287.6982033089416;288.87;289.66;289.49043726926925;15.28;288.79709728;287.9146;288.748311;289.06835;288.4161682128906
140.0;287.6901075389288;288.7;289.48;289.4726210482476;15.19;288.87221119;287.9135;288.84904;289.15669;288.4156494140625
141.0;287.9850798306401;288.65;289.43;289.3932592464323;15.37;288.70550199;288.0797;288.855583;289.5031;288.4146423339844
142.0;288.0605635969606;288.77;289.47;289.50463655394816;15.51;288.68131163;288.0612;288.85835;289.19776;288.4169006347656
143.0;287.7585546206122;288.51;289.55;289.5802292154958;15.52;288.78532951;287.8237;288.637342;289.00231;288.4178771972656
144.0;287.8404010929474;288.54;289.45;289.60185617969915;15.64;288.72431439;287.9804;288.647723;289.05073;288.4194641113281
145.0;288.0859855756368;289.02;289.26;289.59732307740603;15.51;288.92794336;288.1643;288.745387;289.37268;288.4204406738281
146.0;288.155690399588;288.82;289.33;289.54367273178264;15.33;288.57017931;288.0765;288.766283;289.5038;288.4197998046875
147.0;288.06494040293245;288.45;289.42;289.4846418629064;15.36;288.8078273;287.8462;288.840665;289.21805;288.4207458496094
148.0;287.80453900898976;288.43;289.50;289.505768771291;15.32;288.92759117;287.8651;288.922091;289.07037;288.4207458496094
149.0;287.9044051496951;288.46;289.50;289.47062249727134;15.27;288.88903013;287.972;288.877093;289.30392;288.4207458496094
150.0;288.1001008334226;288.72;289.57;289.7765676295882;15.29;288.86288858;287.9827;288.805388;289.31005;288.4217224121094
151.0;287.91232316526646;288.8;289.66;289.55828011977366;15.41;288.82922521;288.0551;288.845116;289.46221;288.42095947265625
152.0;287.9060736669253;288.88;289.75;289.50307622587206;15.34;288.86517252;287.9887;288.89785;289.2462;288.4223327636719
153.0;288.22512223753216;288.94;289.68;289.5289033461939;15.28;288.78538251;287.9134;288.846977;289.10017;288.42401123046875
154.0;287.89664281557685;288.59;289.56;289.52831726752083;15.3;288.66419418;287.9965;288.976262;289.19903;288.4259033203125
